store_name,Mean,Sum,Max,Cluster
PULGAIM SIOLLU ,57.14948453608247,5543.499999999999,145.4,ouro
PUMAM MAMA ,145.0,145.0,145.0,prata
PUPALU GALA,36.117792207792085,8343.209999999972,81.95,bronze
PUPALU RAS ,38.89067055393586,13339.5,129.5,ouro
PUPALU RAS MUI ,39.24748490945674,19506.0,112.0,bronze
PUPALUGALA,36.879319620253064,23307.729999999938,141.92,ouro
PUZAMZI E CAI ,169.99,169.99,169.99,prata
QUAGSALVUR ,89.9,89.9,89.9,bronze
R RIRMIM ,147.02,735.1,159.0,prata
RA VACAI EUSEU I AMACAI ,62.47076023391808,10682.49999999999,154.5,ouro
RALGLIMEAI ,77.08999999999993,14801.279999999986,175.0,ouro
RAMA GILZIMU ,25.753892215568882,4300.900000000003,158.0,ouro
RAMASI ,82.01034482758621,2378.3,153.94,ouro
RAMZI CISMURUARI RA SIPIMUARI ,52.083333333333336,625.0,70.0,bronze
RASMUR S ,41.70220393232738,91202.71999999997,171.5,ouro
RAZIPAO ,98.95235294117644,3364.379999999999,173.96,prata
RC OUMILEES ,52.994219000179335,595761.0100000161,174.8,ouro
RCOUMILES ,48.333516483516725,35186.80000000018,173.8,ouro
RE GULIMURAI ,74.68181818181819,3286.0,141.0,ouro
REMFRUMIS ,106.24137931034483,6162.0,175.0,prata
RIARI RAI ,64.56622516556291,19499.0,172.0,ouro
RIARI SIARI ,84.60680851063849,35788.68000000008,172.0,ouro
RIARIMUA,112.5,225.0,126.0,prata
RIARIZAMI ,36.576699029126246,3767.4000000000033,81.2,bronze
RIC IME CZASU ,46.22572828750186,169787.09999999433,169.2,ouro
RIGAC FAM ,125.66279999999995,3141.569999999999,170.99,prata
RIGU I CIGU ,79.99,1599.8,113.9,bronze
RIMAI EU TRAPRISCI ,67.00413465346462,169185.43999999817,174.7,ouro
RIMI CURVUSUARI ,76.385,1069.39,139.8,ouro
RIOPULLAMU ,76.45567567567569,2828.8600000000006,157.8,ouro
RIRAI CISAMZI ,46.91240310077519,6051.699999999999,174.2,ouro
RIRAI IMIA ,30.470440760210256,75353.39999999997,136.0,ouro
RIRASIA,97.45,194.9,114.9,prata
RIRG LISUR PURSIMILAMO ,91.25,365.0,135.0,ouro
RIRIMI ,85.55163265306123,4192.030000000001,169.9,ouro
RIRURIMUA ,91.86363636363636,3031.5,135.0,ouro
RIRURPIS,90.05426020408144,35301.269999999924,172.7,ouro
RISA PUM ,81.59069767441854,7016.799999999994,168.9,ouro
RISIRA ,78.73147368421053,7479.49,159.5,ouro
RIUSSUCIGU ,111.3614634146341,18263.27999999999,174.8,prata
RIVUMOI MRIMUIRAI ,81.44658469945367,29809.450000000044,169.8,ouro
RIZI ,29.9,29.9,29.9,bronze
RIZIGIMO ,101.71428571428571,712.0,165.8,prata
RO COIGAUS ,105.0,105.0,105.0,prata
RO PISMUAS ,50.636694190931344,349545.09999999905,173.35,ouro
RO PRISMAUS ,61.666666666666664,370.0,72.0,bronze
RUA DA RIMU ,38.35899470899473,7249.850000000004,121.7,bronze
RUG ICUSSIRAIS AMFIMUAS ,67.2,67.2,67.2,bronze
RUGI CICIU SZIS ,96.34154929577454,13680.499999999985,174.8,prata
RUGI SMIRU CICIU SZIS ,79.5803519061584,27136.900000000016,173.7,ouro
RUGIRIMA ,40.00647058823529,1360.2199999999998,82.7,bronze
RULASSI ,109.9,439.6,119.9,prata
